time_s,temperature,target
0.0,238.0,0.0
1.0,238.0,230.0
2.0,238.0,230.0
3.0,236.9,230.0
4.0,235.9,230.0
5.0,234.9,230.0
6.0,233.8,230.0
7.0,232.8,230.0
8.0,230.9,230.0
9.0,230.0,230.0
10.0,229.5,230.0
10.9,228.6,230.0
11.9,228.1,230.0
12.9,228.1,230.0
13.9,227.2,230.0
14.9,227.2,230.0
15.9,227.2,230.0
16.9,226.8,230.0
17.9,226.8,230.0
18.9,226.3,230.0
19.9,226.3,230.0
20.9,226.3,230.0
21.9,226.8,230.0
23.0,226.8,230.0
24.0,227.2,230.0
25.0,227.2,230.0
26.0,227.2,230.0
27.0,227.2,230.0
28.0,227.7,230.0
29.0,228.1,230.0
30.0,228.1,230.0
31.0,228.1,230.0
32.0,228.1,230.0
33.0,228.6,230.0
34.0,228.6,230.0
35.0,229.0,230.0
36.0,229.5,230.0
37.0,230.0,230.0
38.0,230.0,230.0
39.0,230.4,230.0
40.0,230.4,230.0
41.0,230.9,230.0
42.0,230.9,230.0
43.0,231.4,230.0
44.0,231.4,230.0
45.0,231.4,230.0
46.0,232.3,230.0
47.0,232.3,230.0
48.0,232.8,230.0
49.0,232.8,230.0
50.0,233.3,230.0
51.0,233.3,230.0
52.0,233.3,230.0
53.0,233.3,230.0
54.0,233.3,230.0
55.0,233.3,230.0
55.9,233.3,230.0
56.9,233.8,230.0
57.9,233.3,230.0
58.9,233.3,230.0
59.9,233.8,230.0
60.9,233.8,230.0
61.9,233.8,230.0
62.9,234.3,230.0
63.9,233.8,230.0
64.9,234.3,230.0
65.9,234.3,230.0
66.9,234.3,230.0
68.0,234.3,230.0
69.0,234.3,230.0
70.0,234.9,230.0
71.0,234.9,230.0
72.0,234.9,230.0
73.0,234.9,230.0
74.0,234.9,230.0
75.0,234.9,230.0
76.0,234.9,230.0
77.0,234.9,0.0
78.0,235.4,0.0
79.0,235.9,0.0
