time_s,temperature,target
0.0,44.7,230.0
1.0,44.3,230.0
2.0,44.0,230.0
3.0,43.7,230.0
4.0,43.7,230.0
5.0,43.7,230.0
6.0,43.9,230.0
7.0,44.5,230.0
8.0,45.4,230.0
9.0,46.7,230.0
10.0,48.0,230.0
11.0,49.8,230.0
12.0,51.7,230.0
13.0,53.7,230.0
14.0,55.9,230.0
15.0,58.2,230.0
16.0,60.6,230.0
17.0,62.9,230.0
18.0,65.6,230.0
19.0,68.1,230.0
20.0,70.8,230.0
21.0,73.6,230.0
22.0,76.2,230.0
23.0,79.0,230.0
24.0,81.8,230.0
25.0,84.5,230.0
26.0,87.3,230.0
27.1,90.2,230.0
28.1,93.0,230.0
29.1,95.7,230.0
30.1,98.4,230.0
31.1,101.2,230.0
32.1,103.9,230.0
33.1,106.6,230.0
34.1,109.3,230.0
35.1,111.9,230.0
36.1,114.6,230.0
37.1,117.1,230.0
38.1,119.5,230.0
39.1,122.2,230.0
40.1,124.4,230.0
41.1,126.8,230.0
42.1,129.3,230.0
43.1,131.3,230.0
44.0,133.6,230.0
45.0,135.7,230.0
46.0,138.0,230.0
47.0,140.1,230.0
48.0,142.4,230.0
49.0,144.3,230.0
50.0,146.3,230.0
51.0,148.5,230.0
52.0,150.4,230.0
53.0,152.8,230.0
54.0,154.4,230.0
55.0,156.2,230.0
56.0,158.9,230.0
57.0,160.7,230.0
58.0,162.4,230.0
59.0,164.3,230.0
60.0,166.2,230.0
61.0,168.0,230.0
62.0,169.9,230.0
63.0,171.7,230.0
64.0,173.6,230.0
65.0,175.5,230.0
66.0,177.3,230.0
67.0,179.1,230.0
68.0,180.5,230.0
69.0,182.3,230.0
70.0,184.4,230.0
71.0,185.8,230.0
72.0,187.7,230.0
73.0,189.0,230.0
74.0,190.5,230.0
75.0,191.8,230.0
76.0,193.7,230.0
77.1,194.6,230.0
78.1,196.8,230.0
79.1,198.6,230.0
80.1,200.2,230.0
81.1,201.5,230.0
82.1,202.9,230.0
83.1,204.4,230.0
84.1,205.5,230.0
85.1,207.0,230.0
86.1,208.3,230.0
87.1,209.9,230.0
88.1,211.2,230.0
89.1,212.5,230.0
90.1,214.2,230.0
91.1,216.4,230.0
92.1,217.1,230.0
93.1,218.2,230.0
94.1,219.3,230.0
95.1,221.3,230.0
96.1,222.5,230.0
97.1,223.3,230.0
98.1,224.6,230.0
99.1,226.8,230.0
100.0,227.7,230.0
101.0,228.1,230.0
102.0,229.5,230.0
103.0,230.4,230.0
104.0,230.9,230.0
105.0,232.3,230.0
106.0,233.3,230.0
107.0,233.8,230.0
108.0,235.4,230.0
109.0,235.4,230.0
110.0,236.4,230.0
111.0,236.4,230.0
112.0,237.5,230.0
113.0,237.5,230.0
114.0,238.0,230.0
115.0,238.0,230.0
116.0,238.6,230.0
117.0,240.2,230.0
118.0,240.8,0.0
119.0,242.5,0.0
120.0,243.1,0.0
