time_s,temperature,target
0.0,218.2,230.0
1.0,217.8,230.0
2.0,217.1,230.0
3.0,216.7,230.0
4.0,216.4,230.0
5.0,215.3,230.0
6.0,212.8,230.0
7.0,212.5,230.0
8.0,212.2,230.0
9.0,211.5,230.0
10.0,211.8,230.0
11.0,211.5,230.0
12.0,211.8,230.0
13.0,212.2,230.0
14.0,212.5,230.0
15.0,213.2,230.0
16.0,215.3,230.0
17.0,216.0,230.0
18.0,216.7,230.0
19.0,217.5,230.0
20.0,218.2,230.0
21.0,219.3,230.0
22.1,220.9,230.0
23.1,221.7,230.0
24.1,222.9,230.0
25.1,223.8,230.0
26.0,224.6,230.0
27.0,226.3,230.0
28.0,227.7,230.0
29.0,228.1,230.0
30.0,229.5,230.0
31.0,230.0,230.0
32.0,231.4,230.0
33.0,232.8,230.0
34.0,233.3,230.0
35.0,233.8,230.0
36.0,234.3,230.0
37.0,235.4,230.0
38.0,235.9,230.0
39.0,236.4,230.0
40.0,236.9,230.0
41.0,237.5,230.0
42.0,238.0,230.0
43.0,238.0,230.0
44.0,238.0,230.0
45.0,238.6,230.0
46.0,239.7,230.0
47.0,240.2,230.0
48.0,240.8,0.0
49.0,242.5,0.0
50.0,243.1,0.0
