time_s,temperature,target
0.0,147.9,230.0
1.0,146.0,230.0
2.0,144.7,230.0
3.0,143.4,230.0
4.0,142.3,230.0
5.0,141.0,230.0
6.0,140.4,230.0
7.0,140.0,230.0
8.0,139.9,230.0
9.0,140.1,230.0
10.0,140.2,230.0
11.0,141.0,230.0
12.0,142.1,230.0
13.0,143.2,230.0
14.0,144.3,230.0
15.0,145.6,230.0
16.0,147.1,230.0
17.0,148.6,230.0
18.0,150.2,230.0
19.0,151.7,230.0
20.0,153.5,230.0
21.0,155.3,230.0
22.0,157.1,230.0
23.0,159.2,230.0
24.1,161.0,230.0
25.1,162.8,230.0
26.1,164.7,230.0
27.1,166.9,230.0
28.1,168.6,230.0
29.1,170.3,230.0
30.1,172.0,230.0
31.1,174.3,230.0
32.1,175.8,230.0
33.1,177.5,230.0
34.1,179.4,230.0
35.1,180.7,230.0
36.1,182.5,230.0
37.1,185.0,230.0
38.1,186.2,230.0
39.1,188.1,230.0
40.1,189.8,230.0
41.0,191.4,230.0
42.0,192.7,230.0
43.0,194.1,230.0
44.0,196.1,230.0
45.0,198.1,230.0
46.0,199.7,230.0
47.0,201.3,230.0
48.0,202.6,230.0
49.0,204.1,230.0
50.0,205.5,230.0
51.0,207.0,230.0
52.0,208.0,230.0
53.0,209.9,230.0
54.0,211.2,230.0
55.0,212.5,230.0
56.0,215.3,230.0
57.0,216.7,230.0
58.0,217.8,230.0
59.0,219.0,230.0
60.0,220.5,230.0
61.0,222.1,230.0
62.0,223.3,230.0
63.0,224.2,230.0
64.0,226.3,230.0
65.0,227.2,230.0
66.0,228.1,230.0
67.0,229.0,230.0
68.1,230.0,230.0
69.1,231.4,230.0
70.1,232.8,230.0
71.1,233.3,230.0
72.1,234.9,230.0
73.1,235.9,230.0
74.1,236.4,230.0
75.1,236.9,230.0
76.1,237.5,230.0
77.1,238.0,230.0
78.1,238.0,230.0
79.1,239.7,230.0
80.1,240.2,230.0
81.1,240.8,0.0
82.1,243.1,0.0
83.1,243.1,0.0
