time_s,temperature,target
0.0,148.3,0.0
1.0,146.8,230.0
2.0,144.8,230.0
2.9,143.6,230.0
3.9,142.4,230.0
4.9,141.0,230.0
5.9,140.2,230.0
6.9,139.6,230.0
7.9,139.2,230.0
8.9,139.1,230.0
9.9,139.4,230.0
10.9,139.9,230.0
11.9,140.7,230.0
12.9,141.5,230.0
13.9,142.6,230.0
14.9,143.8,230.0
15.9,145.1,230.0
16.9,146.8,230.0
17.9,148.3,230.0
18.9,149.8,230.0
19.9,151.5,230.0
20.9,153.2,230.0
21.9,154.7,230.0
23.0,156.5,230.0
24.0,158.9,230.0
25.0,160.7,230.0
26.0,162.3,230.0
27.0,164.1,230.0
28.0,166.1,230.0
29.0,167.9,230.0
30.0,169.6,230.0
31.0,171.2,230.0
32.0,172.9,230.0
33.0,175.0,230.0
34.0,177.0,230.0
35.0,178.5,230.0
36.0,180.3,230.0
37.0,182.0,230.0
38.0,183.9,230.0
39.0,185.6,230.0
40.0,187.5,230.0
41.0,188.7,230.0
42.0,190.7,230.0
43.0,191.8,230.0
44.0,193.7,230.0
45.0,194.9,230.0
46.0,197.6,230.0
47.0,199.1,230.0
47.9,200.5,230.0
48.9,201.8,230.0
49.9,203.5,230.0
50.9,204.6,230.0
51.9,206.4,230.0
52.9,207.3,230.0
53.9,208.9,230.0
54.9,210.8,230.0
55.9,211.8,230.0
56.9,212.8,230.0
57.9,215.3,230.0
58.9,216.7,230.0
59.9,217.8,230.0
60.9,219.0,230.0
61.9,220.5,230.0
62.9,221.7,230.0
63.9,222.9,230.0
64.9,224.2,230.0
65.9,225.0,230.0
66.9,227.2,230.0
68.0,228.1,230.0
69.0,228.6,230.0
70.0,230.0,230.0
71.0,230.4,230.0
72.0,231.4,230.0
73.0,232.8,230.0
74.0,233.3,230.0
75.0,234.9,230.0
76.0,234.9,230.0
77.0,235.9,230.0
78.0,236.4,230.0
79.0,236.9,230.0
80.0,237.5,230.0
81.0,238.0,230.0
82.0,238.0,230.0
83.0,238.6,230.0
84.0,239.7,230.0
85.0,240.2,230.0
86.0,240.8,0.0
87.0,242.5,0.0
88.0,243.1,0.0
