time_s,temperature,target
0.0,139.1,230.0
1.0,138.5,230.0
2.0,137.9,230.0
3.0,137.3,230.0
4.0,136.4,230.0
5.0,135.9,230.0
6.0,135.4,230.0
7.0,135.4,230.0
8.0,135.4,230.0
9.0,135.7,230.0
10.0,136.3,230.0
11.0,137.1,230.0
12.0,138.0,230.0
13.0,139.1,230.0
14.0,140.2,230.0
15.0,141.9,230.0
16.0,143.3,230.0
17.0,144.7,230.0
18.0,146.5,230.0
19.0,148.3,230.0
20.0,149.8,230.0
21.0,151.5,230.0
22.0,153.4,230.0
23.1,155.1,230.0
24.1,157.0,230.0
25.1,159.1,230.0
26.1,161.0,230.0
27.1,162.5,230.0
28.1,164.5,230.0
29.1,166.8,230.0
30.0,168.5,230.0
31.0,169.9,230.0
32.0,171.8,230.0
33.0,173.9,230.0
34.0,175.5,230.0
35.0,177.3,230.0
36.0,179.1,230.0
37.0,180.5,230.0
38.0,182.3,230.0
39.0,184.6,230.0
40.0,185.8,230.0
41.0,187.9,230.0
42.0,189.4,230.0
43.0,190.9,230.0
44.0,192.3,230.0
45.0,193.9,230.0
46.0,195.6,230.0
47.0,197.6,230.0
48.0,199.1,230.0
49.0,200.5,230.0
50.0,201.8,230.0
51.0,203.5,230.0
52.0,204.6,230.0
53.0,206.4,230.0
54.0,207.6,230.0
55.0,208.9,230.0
56.0,210.2,230.0
57.0,211.5,230.0
58.0,212.8,230.0
59.0,215.3,230.0
60.0,216.7,230.0
61.0,217.1,230.0
62.0,218.2,230.0
63.0,219.3,230.0
64.0,221.3,230.0
65.0,222.1,230.0
66.0,222.9,230.0
67.1,224.2,230.0
68.1,224.6,230.0
69.1,225.5,230.0
70.1,226.8,230.0
71.1,227.2,230.0
72.1,228.1,230.0
73.1,228.1,230.0
74.1,228.6,230.0
75.0,229.0,230.0
76.0,229.5,230.0
77.0,229.5,230.0
78.0,230.0,230.0
79.0,230.4,230.0
80.0,230.4,230.0
81.0,230.4,230.0
82.0,230.9,230.0
83.0,230.9,230.0
84.0,230.9,230.0
85.0,230.9,230.0
86.0,230.4,230.0
87.0,230.4,230.0
88.0,230.4,230.0
89.0,230.4,230.0
90.0,230.4,230.0
91.0,230.0,230.0
92.0,230.4,230.0
93.0,230.0,230.0
94.0,229.5,230.0
95.0,230.0,230.0
96.0,229.5,230.0
97.0,229.5,230.0
98.0,229.5,230.0
99.0,229.5,230.0
100.0,229.5,230.0
101.0,229.0,230.0
102.0,229.0,230.0
103.0,229.0,230.0
104.0,229.0,230.0
105.0,228.6,230.0
106.0,228.6,230.0
107.0,228.6,230.0
108.0,228.6,230.0
109.0,228.6,230.0
110.0,228.1,230.0
111.1,228.1,230.0
112.1,228.1,230.0
113.1,228.1,230.0
114.1,228.1,230.0
115.1,228.1,230.0
116.1,228.1,230.0
117.1,228.1,230.0
118.1,228.1,230.0
119.1,228.1,230.0
120.0,228.1,230.0
121.0,228.1,230.0
122.0,228.1,230.0
123.0,228.1,230.0
124.0,227.7,230.0
125.0,228.1,230.0
126.0,228.1,230.0
127.0,228.1,230.0
128.0,227.7,230.0
129.0,227.7,230.0
130.0,227.7,230.0
131.0,227.7,230.0
132.0,227.7,230.0
133.0,227.7,230.0
134.0,227.7,230.0
135.0,227.7,230.0
136.0,227.7,230.0
137.0,227.7,230.0
138.0,227.7,230.0
139.0,227.7,230.0
140.0,227.7,230.0
141.0,227.7,230.0
142.0,227.7,230.0
143.0,227.7,230.0
144.0,227.7,230.0
145.0,227.7,230.0
146.0,227.7,230.0
147.0,227.7,230.0
148.0,227.7,230.0
149.0,227.7,230.0
150.0,227.7,230.0
151.0,228.1,230.0
152.0,228.1,230.0
153.0,228.1,230.0
154.0,227.7,230.0
155.0,228.1,230.0
156.1,228.1,230.0
157.1,228.1,230.0
158.1,228.1,230.0
159.1,228.1,230.0
160.1,228.1,230.0
161.1,228.1,230.0
162.1,228.1,230.0
163.1,228.1,230.0
164.1,228.1,230.0
165.0,228.1,230.0
166.0,228.1,230.0
167.0,227.7,230.0
168.0,227.7,230.0
169.0,227.7,230.0
170.0,228.1,230.0
171.0,227.7,230.0
172.0,228.1,230.0
173.0,227.7,230.0
174.0,228.1,230.0
175.0,228.1,230.0
176.0,228.1,230.0
177.0,228.1,230.0
178.0,228.1,230.0
179.0,228.1,230.0
180.0,228.1,230.0
181.0,228.1,230.0
182.0,228.1,230.0
183.0,228.1,230.0
184.0,228.1,230.0
185.0,228.1,230.0
186.0,228.1,230.0
187.0,228.1,230.0
188.0,228.1,230.0
189.0,228.1,230.0
190.0,228.6,230.0
191.0,228.1,0.0
192.0,228.1,0.0
193.0,228.6,0.0
