time_s,temperature,target
0.0,120.6,230.0
1.0,120.0,230.0
2.0,119.5,230.0
3.0,119.0,230.0
4.0,118.4,230.0
5.0,117.9,230.0
6.0,117.7,230.0
7.0,117.6,230.0
8.0,117.8,230.0
9.0,118.2,230.0
10.0,119.0,230.0
11.0,119.9,230.0
12.0,120.9,230.0
13.0,122.3,230.0
14.0,123.6,230.0
15.0,125.1,230.0
16.0,126.7,230.0
17.0,128.5,230.0
18.0,130.4,230.0
19.0,132.2,230.0
20.0,134.2,230.0
21.0,136.0,230.0
22.0,138.1,230.0
23.1,140.1,230.0
24.1,142.3,230.0
25.1,144.3,230.0
26.1,146.0,230.0
27.0,148.4,230.0
28.0,150.2,230.0
29.0,152.4,230.0
30.0,154.3,230.0
31.0,156.1,230.0
32.0,158.8,230.0
33.0,160.7,230.0
34.0,162.4,230.0
35.0,164.3,230.0
36.0,166.5,230.0
37.0,168.5,230.0
38.0,170.0,230.0
39.0,172.3,230.0
40.0,174.5,230.0
41.0,176.0,230.0
42.0,177.8,230.0
43.0,179.9,230.0
44.0,181.6,230.0
45.0,182.9,230.0
46.0,185.4,230.0
47.0,187.5,230.0
48.0,188.7,230.0
49.0,190.5,230.0
50.0,191.8,230.0
51.0,193.7,230.0
52.0,195.3,230.0
53.0,197.6,230.0
54.0,199.1,230.0
55.0,200.5,230.0
56.0,201.8,230.0
57.0,203.8,230.0
58.0,204.6,230.0
59.0,206.7,230.0
60.0,208.0,230.0
61.0,209.2,230.0
62.0,211.2,230.0
63.0,212.5,230.0
64.0,214.2,230.0
65.0,216.4,230.0
66.0,217.5,230.0
67.1,218.6,230.0
68.1,220.5,230.0
69.1,221.7,230.0
70.1,222.9,230.0
71.1,224.2,230.0
72.0,225.5,230.0
73.0,227.2,230.0
74.0,228.1,230.0
75.0,229.0,230.0
76.0,229.5,230.0
77.0,230.9,230.0
78.0,232.3,230.0
79.0,232.8,230.0
80.0,233.8,230.0
81.0,234.9,230.0
82.0,235.4,230.0
83.0,236.4,230.0
84.0,236.4,230.0
85.0,237.5,230.0
86.0,238.0,230.0
87.0,238.0,230.0
88.0,238.0,230.0
89.0,239.7,230.0
90.0,240.2,230.0
91.0,240.8,0.0
92.0,242.5,0.0
93.0,243.1,0.0
