time_s,temperature,target
0.0,158.9,230.0
1.0,157.2,230.0
2.0,156.5,230.0
3.0,155.7,230.0
4.0,154.8,230.0
5.0,154.3,230.0
6.0,153.6,230.0
7.0,153.4,230.0
8.0,153.3,230.0
9.0,153.3,230.0
10.0,153.4,230.0
11.0,154.0,230.0
12.0,154.7,230.0
13.0,155.6,230.0
14.0,156.5,230.0
15.0,157.7,230.0
16.0,159.5,230.0
17.0,160.9,230.0
18.0,162.3,230.0
19.0,164.0,230.0
20.0,165.7,230.0
21.0,167.2,230.0
22.0,168.7,230.0
23.0,170.5,230.0
24.0,172.0,230.0
25.1,174.0,230.0
26.1,175.5,230.0
27.1,177.5,230.0
28.1,179.2,230.0
29.1,180.5,230.0
30.1,182.3,230.0
31.1,184.8,230.0
32.1,186.0,230.0
33.1,187.9,230.0
34.1,189.6,230.0
35.1,191.4,230.0
36.1,192.7,230.0
37.1,194.1,230.0
38.1,195.8,230.0
39.1,198.1,230.0
40.1,199.9,230.0
41.1,201.3,230.0
42.0,202.6,230.0
43.0,204.1,230.0
44.0,205.2,230.0
45.0,207.0,230.0
46.0,208.0,230.0
47.0,209.5,230.0
48.0,211.2,230.0
49.0,212.2,230.0
50.0,214.2,230.0
51.0,216.4,230.0
52.0,217.5,230.0
53.0,218.2,230.0
54.0,219.7,230.0
55.0,221.3,230.0
56.0,222.5,230.0
57.0,223.8,230.0
58.0,224.6,230.0
59.0,227.2,230.0
60.0,228.1,230.0
61.0,228.6,230.0
62.0,229.5,230.0
63.0,230.9,230.0
64.0,232.3,230.0
65.0,232.8,230.0
66.0,233.8,230.0
67.0,235.4,230.0
68.1,235.9,230.0
69.1,236.4,230.0
70.1,236.9,230.0
71.1,238.0,230.0
72.1,238.0,230.0
73.1,238.6,230.0
74.1,239.7,230.0
75.1,240.8,230.0
76.1,241.4,0.0
77.1,243.1,0.0
78.1,243.1,0.0
