time_s,temperature,target
0.0,148.1,230.0
1.0,146.3,230.0
2.0,144.8,230.0
3.0,143.6,230.0
4.0,142.4,230.0
5.0,141.2,230.0
6.0,140.5,230.0
7.0,140.0,230.0
8.0,139.9,230.0
9.0,139.9,230.0
10.0,140.1,230.0
11.0,140.8,230.0
12.0,141.7,230.0
13.0,142.5,230.0
14.0,143.6,230.0
15.0,144.8,230.0
16.0,146.1,230.0
17.0,147.7,230.0
18.0,149.0,230.0
19.0,150.9,230.0
20.0,152.8,230.0
21.0,154.2,230.0
22.0,155.7,230.0
23.1,157.5,230.0
24.1,159.6,230.0
25.1,161.5,230.0
26.1,163.3,230.0
27.1,164.9,230.0
28.1,167.0,230.0
29.1,168.7,230.0
30.1,170.8,230.0
31.1,172.5,230.0
32.1,174.5,230.0
33.1,176.0,230.0
34.1,177.8,230.0
35.1,179.6,230.0
36.1,180.8,230.0
37.1,182.7,230.0
38.1,185.0,230.0
39.1,186.6,230.0
40.1,188.1,230.0
41.1,189.8,230.0
42.0,191.4,230.0
43.0,193.0,230.0
44.0,194.4,230.0
45.0,195.8,230.0
46.0,198.1,230.0
47.0,199.7,230.0
48.0,201.3,230.0
49.0,202.6,230.0
50.0,203.8,230.0
51.0,205.2,230.0
52.0,206.7,230.0
53.0,208.0,230.0
54.0,209.2,230.0
55.0,211.2,230.0
56.0,212.2,230.0
57.0,213.2,230.0
58.0,216.4,230.0
59.0,217.1,230.0
60.0,217.8,230.0
61.0,219.0,230.0
62.0,220.9,230.0
63.0,222.1,230.0
64.0,223.3,230.0
65.0,224.2,230.0
66.0,225.5,230.0
67.1,227.2,230.0
68.1,228.1,230.0
69.1,228.6,230.0
70.1,229.5,230.0
71.1,230.4,230.0
72.1,232.3,230.0
73.1,232.8,230.0
74.1,233.3,230.0
75.1,234.3,230.0
76.1,235.4,230.0
77.1,235.9,230.0
78.1,236.9,230.0
79.1,236.9,230.0
80.1,237.5,230.0
81.1,238.0,230.0
82.1,238.6,230.0
83.1,239.7,230.0
84.1,240.2,230.0
85.1,240.8,0.0
86.0,242.5,0.0
87.0,243.1,0.0
