time_s,temperature,target
0.0,147.5,0.0
1.0,145.8,230.0
2.0,144.4,230.0
3.0,143.2,230.0
4.0,141.9,230.0
5.0,140.5,230.0
6.0,139.7,230.0
7.0,139.1,230.0
8.0,138.8,230.0
9.0,138.7,230.0
10.0,138.8,230.0
11.0,139.2,230.0
12.0,139.9,230.0
13.0,140.9,230.0
14.0,142.0,230.0
15.0,143.3,230.0
16.0,144.4,230.0
17.0,145.7,230.0
18.0,147.3,230.0
19.0,149.0,230.0
20.0,150.7,230.0
21.0,152.8,230.0
22.0,154.2,230.0
23.0,155.8,230.0
24.0,157.7,230.0
25.0,159.9,230.0
26.0,161.7,230.0
27.0,163.6,230.0
28.0,165.7,230.0
29.0,167.3,230.0
30.1,169.0,230.0
31.1,170.9,230.0
32.1,172.8,230.0
33.1,174.7,230.0
34.1,177.0,230.0
35.1,178.2,230.0
36.1,179.9,230.0
37.1,181.8,230.0
38.1,182.9,230.0
39.1,185.4,230.0
40.1,187.3,230.0
41.1,188.5,230.0
42.1,190.3,230.0
43.1,191.6,230.0
44.1,193.2,230.0
45.1,194.6,230.0
46.1,196.6,230.0
47.1,198.6,230.0
48.1,199.9,230.0
49.1,201.5,230.0
50.1,202.9,230.0
51.1,204.4,230.0
52.1,205.5,230.0
53.1,207.0,230.0
54.1,208.3,230.0
55.1,209.9,230.0
56.1,211.2,230.0
57.1,212.2,230.0
58.0,214.2,230.0
59.0,216.4,230.0
60.0,217.5,230.0
61.0,218.2,230.0
62.0,219.3,230.0
63.0,221.3,230.0
64.0,222.5,230.0
65.0,223.8,230.0
66.0,224.6,230.0
67.0,226.8,230.0
68.0,227.7,230.0
69.0,228.6,230.0
70.0,229.5,230.0
71.0,230.4,230.0
72.0,231.4,230.0
73.0,232.8,230.0
74.0,233.8,230.0
75.0,234.9,230.0
76.0,235.4,230.0
77.0,236.4,230.0
78.0,236.4,230.0
79.0,237.5,230.0
80.0,237.5,230.0
81.0,238.0,230.0
82.0,238.0,230.0
83.0,238.6,230.0
84.0,239.7,230.0
85.0,239.7,230.0
86.0,240.8,230.0
87.1,240.8,0.0
88.1,243.1,0.0
89.1,243.1,0.0
