time_s,temperature,target
0.0,147.8,0.0
1.0,146.1,230.0
2.0,144.6,230.0
3.0,143.3,230.0
4.0,142.0,230.0
5.0,140.8,230.0
6.0,139.9,230.0
7.0,139.2,230.0
8.0,139.1,230.0
9.0,139.1,230.0
10.0,139.2,230.0
11.0,139.8,230.0
12.0,140.4,230.0
13.0,141.4,230.0
14.0,142.5,230.0
15.0,143.8,230.0
16.0,145.1,230.0
17.0,146.8,230.0
18.0,148.3,230.0
19.0,150.0,230.0
20.0,151.5,230.0
21.0,153.3,230.0
22.0,154.8,230.0
23.1,156.8,230.0
24.1,159.0,230.0
25.1,160.8,230.0
26.1,162.4,230.0
27.1,164.3,230.0
28.1,166.2,230.0
29.1,168.2,230.0
30.1,169.9,230.0
31.1,171.7,230.0
32.1,173.7,230.0
33.1,175.5,230.0
34.1,177.3,230.0
35.1,179.1,230.0
36.1,180.5,230.0
37.1,182.3,230.0
38.1,184.8,230.0
39.1,186.0,230.0
40.1,187.9,230.0
41.1,189.4,230.0
42.0,190.9,230.0
43.0,192.5,230.0
44.0,194.1,230.0
45.0,195.6,230.0
46.0,197.8,230.0
47.0,199.4,230.0
48.0,200.7,230.0
49.0,202.1,230.0
50.0,203.8,230.0
51.0,205.2,230.0
52.0,207.0,230.0
53.0,208.0,230.0
54.0,209.5,230.0
55.0,211.2,230.0
56.0,212.2,230.0
57.0,214.6,230.0
58.0,216.4,230.0
59.0,217.5,230.0
60.0,218.2,230.0
61.0,220.5,230.0
62.0,221.7,230.0
63.0,222.9,230.0
64.0,224.2,230.0
65.0,225.0,230.0
66.0,227.2,230.0
67.1,228.1,230.0
68.1,228.6,230.0
69.1,230.0,230.0
70.1,231.4,230.0
71.1,232.8,230.0
72.1,233.3,230.0
73.1,234.9,230.0
74.1,235.4,230.0
75.1,236.4,230.0
76.1,236.9,230.0
77.1,237.5,230.0
78.1,238.0,230.0
79.1,238.6,230.0
80.1,239.7,230.0
81.1,240.2,230.0
82.1,240.8,0.0
83.1,243.1,0.0
84.1,243.1,0.0
