time_s,temperature,target
0.0,17.2,230.0
1.0,17.2,230.0
2.0,17.2,230.0
3.0,17.2,230.0
4.0,17.3,230.0
5.0,17.6,230.0
6.0,18.3,230.0
7.0,19.3,230.0
8.0,20.4,230.0
9.0,22.0,230.0
10.0,23.6,230.0
11.0,25.7,230.0
12.0,28.2,230.0
13.0,30.6,230.0
14.0,33.4,230.0
15.0,36.4,230.0
16.0,39.5,230.0
16.9,42.6,230.0
17.9,45.6,230.0
18.9,48.9,230.0
19.9,52.0,230.0
20.9,55.0,230.0
21.9,58.2,230.0
23.0,61.2,230.0
24.0,64.3,230.0
25.0,67.3,230.0
26.0,70.2,230.0
27.0,73.3,230.0
28.0,76.2,230.0
29.0,79.4,230.0
30.0,82.3,230.0
31.0,85.2,230.0
32.0,88.2,230.0
33.0,91.1,230.0
34.0,94.0,230.0
35.0,97.0,230.0
36.0,100.0,230.0
37.0,102.8,230.0
38.0,105.6,230.0
39.0,108.3,230.0
40.0,111.0,230.0
41.0,113.8,230.0
42.0,116.4,230.0
43.0,119.0,230.0
44.0,121.4,230.0
45.0,124.0,230.0
46.0,126.5,230.0
47.0,128.7,230.0
48.0,131.2,230.0
49.0,133.5,230.0
50.0,135.7,230.0
51.0,138.0,230.0
52.0,140.2,230.0
53.0,142.5,230.0
54.0,144.7,230.0
55.0,147.0,230.0
56.0,149.0,230.0
57.0,151.0,230.0
58.0,153.1,230.0
59.0,155.1,230.0
60.0,157.1,230.0
60.9,159.5,230.0
61.9,161.3,230.0
62.9,163.4,230.0
63.9,165.7,230.0
64.9,167.5,230.0
65.9,169.3,230.0
67.0,171.1,230.0
68.0,172.8,230.0
69.0,175.0,230.0
70.0,177.2,230.0
71.0,178.5,230.0
72.0,180.5,230.0
73.0,182.3,230.0
74.0,184.6,230.0
75.0,185.8,230.0
76.0,187.9,230.0
77.0,189.4,230.0
78.0,191.1,230.0
79.0,192.5,230.0
80.0,194.1,230.0
81.0,196.1,230.0
82.0,198.3,230.0
83.0,199.7,230.0
84.0,201.5,230.0
85.0,202.9,230.0
86.0,204.4,230.0
87.0,205.8,230.0
88.0,207.0,230.0
89.0,208.3,230.0
90.0,210.2,230.0
91.0,211.5,230.0
92.0,212.8,230.0
93.0,215.6,230.0
94.0,216.7,230.0
95.0,217.8,230.0
96.0,219.0,230.0
97.0,220.5,230.0
98.0,222.1,230.0
99.0,223.3,230.0
100.0,224.2,230.0
101.0,225.0,230.0
102.0,227.2,230.0
103.0,228.1,230.0
104.0,229.0,230.0
105.0,230.0,230.0
106.0,230.9,230.0
106.9,232.3,230.0
107.9,233.3,230.0
108.9,234.3,230.0
109.9,235.4,230.0
110.9,235.9,230.0
112.0,236.4,230.0
113.0,236.9,230.0
114.0,237.5,230.0
115.0,238.0,230.0
116.0,238.0,230.0
117.0,238.6,230.0
118.0,239.7,230.0
119.0,240.8,230.0
120.0,241.4,0.0
121.0,243.1,0.0
122.0,243.1,0.0
