time_s,temperature,target
0.0,134.5,0.0
1.0,134.0,230.0
2.0,133.2,230.0
3.0,132.4,230.0
3.9,131.8,230.0
4.9,131.3,230.0
5.9,130.7,230.0
6.9,130.7,230.0
7.9,130.7,230.0
8.9,131.0,230.0
9.9,131.4,230.0
10.9,132.2,230.0
11.9,133.1,230.0
12.9,134.3,230.0
13.9,135.4,230.0
14.9,136.8,230.0
15.9,138.5,230.0
16.9,140.1,230.0
17.9,142.0,230.0
18.9,143.6,230.0
19.9,145.4,230.0
20.9,147.3,230.0
22.0,149.1,230.0
23.0,151.1,230.0
24.0,153.1,230.0
25.0,154.9,230.0
26.0,156.8,230.0
27.0,159.2,230.0
28.0,161.2,230.0
29.0,163.0,230.0
30.0,164.9,230.0
31.0,167.0,230.0
32.0,168.7,230.0
33.0,170.8,230.0
34.0,172.6,230.0
35.0,174.8,230.0
36.0,176.8,230.0
37.0,178.2,230.0
38.0,180.1,230.0
39.0,182.0,230.0
40.0,183.9,230.0
41.0,185.8,230.0
42.0,187.7,230.0
43.0,189.0,230.0
44.0,190.9,230.0
45.0,192.3,230.0
46.0,194.1,230.0
46.9,195.6,230.0
47.9,198.1,230.0
48.9,199.4,230.0
49.9,201.3,230.0
50.9,202.9,230.0
51.9,204.1,230.0
52.9,205.5,230.0
53.9,207.0,230.0
54.9,208.3,230.0
55.9,209.9,230.0
56.9,211.5,230.0
57.9,212.8,230.0
58.9,215.6,230.0
59.9,216.7,230.0
60.9,217.8,230.0
61.9,219.0,230.0
62.9,220.9,230.0
64.0,222.1,230.0
65.0,223.3,230.0
66.0,224.2,230.0
67.0,226.3,230.0
68.0,227.7,230.0
69.0,228.6,230.0
70.0,229.5,230.0
71.0,230.4,230.0
72.0,232.3,230.0
73.0,233.3,230.0
74.0,233.8,230.0
75.0,235.4,230.0
76.0,235.9,230.0
77.0,236.9,230.0
78.0,236.9,230.0
79.0,238.0,230.0
80.0,238.0,230.0
81.0,238.6,230.0
82.0,240.2,230.0
83.0,240.8,0.0
84.0,242.5,0.0
85.0,243.1,0.0
