time_s,temperature,target
0.0,148.3,0.0
1.0,146.8,230.0
1.9,144.9,230.0
2.9,143.7,230.0
3.9,142.5,230.0
4.9,141.2,230.0
5.9,140.2,230.0
6.9,139.9,230.0
7.9,139.6,230.0
8.9,139.6,230.0
9.9,139.9,230.0
10.9,140.2,230.0
11.9,141.0,230.0
12.9,142.1,230.0
13.9,143.3,230.0
14.9,144.4,230.0
15.9,145.7,230.0
16.9,147.3,230.0
17.9,148.9,230.0
18.9,150.3,230.0
19.9,152.3,230.0
20.9,153.9,230.0
21.9,155.6,230.0
22.9,157.2,230.0
23.9,159.5,230.0
24.9,161.2,230.0
25.9,163.0,230.0
26.9,164.7,230.0
27.9,166.9,230.0
28.9,168.6,230.0
29.9,170.3,230.0
30.9,172.0,230.0
32.0,174.0,230.0
33.0,175.5,230.0
34.0,177.5,230.0
35.0,179.4,230.0
36.0,180.5,230.0
37.0,182.5,230.0
38.0,185.0,230.0
39.0,186.0,230.0
40.0,187.9,230.0
41.0,189.6,230.0
42.0,191.1,230.0
43.0,192.5,230.0
44.0,194.1,230.0
45.0,195.6,230.0
46.0,198.1,230.0
47.0,199.7,230.0
48.0,201.3,230.0
49.0,202.6,230.0
50.0,204.1,230.0
51.0,205.5,230.0
52.0,207.0,230.0
53.0,208.3,230.0
54.0,209.5,230.0
54.9,211.2,230.0
55.9,212.5,230.0
56.9,214.6,230.0
57.9,216.4,230.0
58.9,217.5,230.0
59.9,218.6,230.0
60.9,219.7,230.0
61.9,221.3,230.0
62.9,222.5,230.0
63.9,223.8,230.0
64.9,224.6,230.0
65.9,227.2,230.0
66.9,227.7,230.0
67.9,228.6,230.0
68.9,229.5,230.0
69.9,230.4,230.0
70.9,231.4,230.0
71.9,232.8,230.0
72.9,233.8,230.0
73.9,234.3,230.0
74.9,235.4,230.0
75.9,235.4,230.0
76.9,236.9,230.0
77.9,236.9,230.0
78.9,237.5,230.0
79.9,238.0,230.0
81.0,238.0,230.0
82.0,238.0,230.0
83.0,238.6,230.0
84.0,239.7,230.0
85.0,240.2,230.0
86.0,240.8,0.0
87.0,243.1,0.0
88.0,243.1,0.0
